row_index,var_pair,lag,coef
9,aero_H,0,0.8045826766742091
9,aero_H,1,-0.045602390608216116
9,aero_CO2,0,0.7199129794167743
10,T_T,1,-0.07664270165822101
10,T_H,0,-0.6244142875480984
10,T_CO2,0,-0.012177827206951786
10,T_CO2,1,-0.7865070118836116
10,H_T,0,-0.6244142875480984
10,H_H,1,-0.06473560075660366
10,H_CO2,0,-0.028462015494796093
10,H_CO2,1,0.7022078872453502
10,H_aero,0,-0.03998350469822507
10,H_aero,1,-0.04052264320930475
10,CO2_T,0,-0.012177827206951786
10,CO2_T,1,0.06956403828447467
10,CO2_H,0,-0.028462015494796093
10,CO2_CO2,1,-0.0429532117058998
10,aero_H,0,-0.03998350469822507
10,aero_H,1,-0.06817635731331295
10,aero_aero,1,0.682414564763247
11,T_T,1,0.63457268118433
11,T_CO2,0,-0.6795815879996618
11,T_CO2,1,-0.584154575057403
11,H_T,1,-0.0559659727606699
11,H_H,1,-0.05593694010140428
11,H_CO2,1,0.05789993340480595
11,H_aero,0,0.008113820906642229
11,H_aero,1,0.8165188078645299
11,CO2_T,0,-0.6795815879996618
11,CO2_T,1,-0.7167886289321365
11,CO2_CO2,1,0.7462991585856694
11,CO2_aero,0,0.07075266220901577
11,CO2_aero,1,-0.007797184354922588
11,aero_H,0,0.008113820906642229
11,aero_H,1,-0.11546950247239018
11,aero_CO2,0,0.07075266220901577
11,aero_CO2,1,0.02227692569973028
11,aero_aero,1,0.006008545857089284
12,T_T,1,-0.030130127693874346
12,T_aero,0,-0.0489364741057559
12,H_aero,1,-0.0071460380816514455
12,CO2_CO2,1,-0.09766029090230895
12,aero_T,0,-0.0489364741057559
12,aero_T,1,0.15918301883518282
12,aero_aero,1,0.6534805117914149
13,T_T,1,-0.04550113765702844
13,T_H,0,0.697761034733815
13,T_H,1,-0.059804245132170114
13,H_T,0,0.697761034733815
13,H_T,1,-0.00833197989099917
13,H_H,1,-0.03140301646047175
13,aero_P,1,0.17216509521703707
14,T_T,1,0.5323662332367933
14,H_H,1,0.5407274382382056
14,H_aero,1,0.21934742311545743
14,aero_aero,1,0.5201101796773815
15,T_T,1,-0.03602350181643204
15,T_H,0,-0.316519561018046
15,T_CO2,0,-0.7079132806674205
15,T_CO2,1,0.023379226990756778
15,T_aero,0,-0.07518140541135361
15,T_aero,1,-0.044408575522429126
15,H_T,0,-0.316519561018046
15,H_H,1,-0.074197141957045
15,H_CO2,0,0.5454705425832451
15,H_aero,0,0.23562040008574284
15,H_aero,1,0.22799584034088027
15,CO2_T,0,-0.7079132806674205
15,CO2_T,1,0.014350120467708364
15,CO2_H,0,0.5454705425832451
15,CO2_H,1,-0.019098699459714503
15,CO2_CO2,1,-0.047336309572081896
15,CO2_aero,0,0.15230290109676967
15,CO2_aero,1,0.0941945440380449
15,aero_T,0,-0.07518140541135361
15,aero_T,1,0.051047314095786916
15,aero_H,0,0.23562040008574284
15,aero_H,1,-0.15367726969751086
15,aero_CO2,0,0.15230290109676967
15,aero_aero,1,0.47354512069809984
16,T_T,1,-0.08522410031604764
16,T_CO2,1,-0.008552182109931203
16,H_CO2,0,0.7688977196802956
16,CO2_H,0,0.7688977196802956
16,CO2_H,1,0.8261982852883449
16,CO2_CO2,1,0.8561520958272834
17,T_T,1,0.7299213460003894
17,H_H,1,0.4381085715397761
17,CO2_aero,0,-0.5929103932922387
17,CO2_aero,1,0.028933773015524952
17,aero_CO2,0,-0.5929103932922387
