,variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
69,aero_H,0,11,72.73,27.27,36.36,0.0
70,aero_H,1,11,72.73,27.27,36.36,0.0
71,aero_H,2,11,72.73,27.27,36.36,0.0
72,aero_H,3,11,81.82,18.18,36.36,0.0
73,aero_H,4,11,72.73,27.27,27.27,0.0
74,aero_H,5,11,63.64,36.36,27.27,0.0
75,aero_aero,1,12,91.67,8.33,83.33,0.0
76,aero_aero,2,12,100.0,0.0,91.67,0.0
77,aero_aero,3,12,83.33,16.67,83.33,0.0
78,aero_aero,4,11,100.0,0.0,100.0,0.0
79,aero_aero,5,11,90.91,9.09,81.82,0.0
80,P_aero,0,10,30.0,70.0,0.0,0.0
81,P_aero,1,10,30.0,70.0,0.0,0.0
82,P_aero,2,9,33.33,66.67,0.0,0.0
83,P_aero,3,9,33.33,66.67,0.0,0.0
84,P_aero,4,9,33.33,66.67,0.0,11.11
85,P_aero,5,8,25.0,75.0,0.0,12.5
86,aero_P,0,10,30.0,70.0,0.0,0.0
87,aero_P,1,10,30.0,70.0,0.0,0.0
88,aero_P,2,10,40.0,60.0,0.0,0.0
89,aero_P,3,8,37.5,62.5,0.0,0.0
90,aero_P,4,8,25.0,75.0,0.0,0.0
91,aero_P,5,8,25.0,75.0,0.0,0.0
92,P_P,1,11,100.0,0.0,90.91,0.0
93,P_P,2,11,100.0,0.0,63.64,0.0
94,P_P,3,10,100.0,0.0,50.0,0.0
95,P_P,4,10,100.0,0.0,40.0,0.0
96,P_P,5,9,100.0,0.0,33.33,0.0
97,P_T,0,4,75.0,25.0,75.0,0.0
98,P_T,1,5,60.0,40.0,60.0,0.0
99,P_T,2,5,80.0,20.0,60.0,0.0
100,P_T,3,5,80.0,20.0,60.0,0.0
101,P_T,4,6,83.33,16.67,50.0,0.0
102,P_T,5,6,83.33,16.67,50.0,0.0
103,P_H,0,6,83.33,16.67,16.67,0.0
104,P_H,1,6,66.67,33.33,16.67,0.0
105,P_H,2,6,83.33,16.67,16.67,0.0
106,P_H,3,6,83.33,16.67,16.67,0.0
107,P_H,4,6,83.33,16.67,16.67,0.0
108,P_H,5,6,83.33,16.67,16.67,0.0
109,T_P,0,4,75.0,25.0,75.0,0.0
110,T_P,1,5,80.0,20.0,60.0,0.0
111,T_P,2,4,100.0,0.0,75.0,0.0
112,T_P,3,4,100.0,0.0,75.0,0.0
113,T_P,4,4,100.0,0.0,75.0,0.0
114,T_P,5,4,100.0,0.0,75.0,0.0
115,T_T,1,11,100.0,0.0,90.91,0.0
116,T_T,2,11,90.91,9.09,90.91,0.0
117,T_T,3,11,90.91,9.09,90.91,0.0
118,T_T,4,11,90.91,9.09,90.91,0.0
119,T_T,5,11,90.91,9.09,81.82,0.0
120,T_H,0,9,77.78,22.22,44.44,0.0
121,T_H,1,9,66.67,33.33,33.33,0.0
122,T_H,2,10,80.0,20.0,30.0,0.0
123,T_H,3,9,66.67,33.33,33.33,0.0
124,T_H,4,10,60.0,40.0,30.0,0.0
125,T_H,5,10,60.0,40.0,30.0,0.0
126,H_P,0,6,83.33,16.67,16.67,0.0
127,H_P,1,6,83.33,16.67,16.67,0.0
128,H_P,2,6,83.33,16.67,16.67,0.0
129,H_P,3,6,83.33,16.67,16.67,0.0
130,H_P,4,5,100.0,0.0,20.0,0.0
131,H_P,5,5,100.0,0.0,20.0,0.0
132,H_T,0,9,77.78,22.22,44.44,0.0
133,H_T,1,9,77.78,22.22,33.33,0.0
134,H_T,2,10,80.0,20.0,30.0,0.0
135,H_T,3,10,70.0,30.0,30.0,0.0
136,H_T,4,10,70.0,30.0,30.0,0.0
137,H_T,5,10,70.0,30.0,30.0,0.0
138,H_H,1,11,100.0,0.0,90.91,0.0
139,H_H,2,11,90.91,9.09,90.91,0.0
140,H_H,3,11,90.91,9.09,90.91,0.0
141,H_H,4,11,90.91,9.09,81.82,0.0
142,H_H,5,11,90.91,9.09,72.73,0.0
143,T_aero,0,9,44.44,55.56,0.0,0.0
144,T_aero,1,9,55.56,44.44,0.0,0.0
145,T_aero,2,10,60.0,40.0,0.0,0.0
146,T_aero,3,10,50.0,50.0,0.0,0.0
147,T_aero,4,9,44.44,55.56,0.0,0.0
148,T_aero,5,9,55.56,44.44,0.0,0.0
149,H_aero,0,10,70.0,30.0,30.0,0.0
150,H_aero,1,10,70.0,30.0,30.0,0.0
151,H_aero,2,10,60.0,40.0,20.0,0.0
152,H_aero,3,10,70.0,30.0,20.0,0.0
153,H_aero,4,10,70.0,30.0,20.0,0.0
154,H_aero,5,9,66.67,33.33,11.11,0.0
155,aero_T,0,9,44.44,55.56,0.0,0.0
156,aero_T,1,10,40.0,60.0,10.0,0.0
157,aero_T,2,9,44.44,55.56,11.11,0.0
158,aero_T,3,9,44.44,55.56,11.11,0.0
159,aero_T,4,9,44.44,55.56,11.11,0.0
160,aero_T,5,9,44.44,55.56,11.11,0.0
161,aero_H,0,10,70.0,30.0,30.0,0.0
162,aero_H,1,10,60.0,40.0,30.0,0.0
163,aero_H,2,9,66.67,33.33,33.33,0.0
164,aero_H,3,9,77.78,22.22,33.33,0.0
165,aero_H,4,9,66.67,33.33,22.22,0.0
166,aero_H,5,9,66.67,33.33,22.22,0.0
167,aero_aero,1,11,90.91,9.09,90.91,0.0
168,aero_aero,2,11,100.0,0.0,100.0,0.0
169,aero_aero,3,11,90.91,9.09,81.82,0.0
170,aero_aero,4,11,100.0,0.0,90.91,0.0
171,aero_aero,5,10,90.0,10.0,80.0,0.0
172,P_aero,0,7,42.86,57.14,0.0,0.0
173,P_aero,1,7,42.86,57.14,0.0,0.0
174,P_aero,2,6,50.0,50.0,0.0,0.0
175,P_aero,3,6,50.0,50.0,0.0,0.0
176,P_aero,4,6,33.33,66.67,0.0,0.0
177,P_aero,5,5,20.0,80.0,0.0,0.0
178,aero_P,0,7,42.86,57.14,0.0,0.0
179,aero_P,1,7,42.86,57.14,0.0,0.0
180,aero_P,2,5,60.0,40.0,0.0,0.0
181,aero_P,3,4,50.0,50.0,0.0,0.0
182,aero_P,4,4,25.0,75.0,0.0,0.0
183,aero_P,5,4,25.0,75.0,0.0,0.0
