row_index,var_pair,lag,coef
10,CO2_CO2,1,-0.07751556789391631
10,CO2_aero,0,-0.07720243993942746
10,CO2_aero,1,0.8881981162751127
10,aero_T,0,0.002464087153585914
10,aero_CO2,0,-0.07720243993942746
10,aero_aero,1,-0.07780305435500592
11,P_H,0,0.35527499167705673
11,T_T,1,0.4892489392792934
11,H_P,0,0.35527499167705673
11,H_P,1,0.3579400363623987
11,H_H,1,0.5854842012398616
11,CO2_H,1,0.17022965916612065
11,CO2_CO2,1,0.07558751512373155
12,T_T,1,-0.08052396986050742
12,T_H,0,-0.6678339232077807
12,T_CO2,0,-0.7329506587353095
12,T_CO2,1,-0.00016979264089840758
12,T_aero,0,0.03307610354421743
12,T_aero,1,-0.004851012006343324
12,H_T,0,-0.6678339232077807
12,H_T,1,-0.007906616823639722
12,H_H,1,-0.04016299367166644
